HardwareTimestamp,PythonTimestamp,ax,ay,az,gx,gy,gz,mx,my,mz,temp,press,alt,head,sat,lat,lon,gpsAlt
30252,30204.39697,1.320402265,-0.344765037,8.655038834,0.07087902,0.0063951,-0.005595712,-7.874684811,1.566604018,4.016506195,29.79999924,99156,216.1654816,168.7483673,0,0,0,0
30292,30244.16357,1.295263171,-0.331596941,8.676587105,0.057289433,0.004529862,-0.010125575,-7.849686146,1.374945045,4.04150486,29.79999924,99156,215.8266449,170.0649109,0,0,0,0
30332,30284.52856,1.292868972,-0.434547603,8.643068314,0.066349156,0.00319755,-0.005862175,-7.799687862,1.516605973,4.099835873,29.79999924,99156,216.0807648,168.99646,0,0,0,0
30372,30325.12427,1.272518158,-0.351947635,8.650250435,0.064750381,0.005329249,-0.007460949,-7.891351223,1.499940038,4.04150486,29.79999924,99156,215.6577454,169.2379456,0,0,0,0
30412,30366.14844,1.294066072,-0.40821138,8.724471092,0.061019909,0.00106585,-0.0042634,-7.891351223,1.633267999,4.124835014,29.79999924,99156,215.9960632,168.3066254,0,0,0,0
30452,30409.14551,1.291671872,-0.336385339,8.568847656,0.075142421,0.004529862,-0.008260337,-7.874684811,1.499940038,4.04150486,29.79999924,99156,215.6577454,169.2156982,0,0,0,0
30496,30449.71777,1.246181965,-0.368707061,8.674192429,0.055157732,0.002398162,-0.005595712,-7.874684811,1.499940038,4.04150486,29.79999924,99156,216.2501984,169.2156982,0,0,0,0
30536,30489.10742,1.288080573,-0.422576606,8.66940403,0.07194487,0.006128637,-0.007460949,-7.83302021,1.541604996,4.04150486,29.79999924,99156,216.3348999,168.8659973,0,0,0,0
30576,30530.81104,1.303642869,-0.350750536,8.652645111,0.062885143,0.001598775,-0.004796324,-7.808021069,1.458274961,4.04150486,29.79999924,99156,215.8266449,169.4209595,0,0,0,0
30616,30568.46411,1.316810966,-0.386663586,8.623914719,0.066615619,0.00319755,-0.007460949,-7.808021069,1.433276057,4.083169937,29.79999924,99156,216.0807648,169.5983276,0,0,0,0
30656,30610.03833,1.276109457,-0.380678058,8.664615631,0.066082694,0.002931087,-0.006128637,-7.924683094,1.433276057,3.999840021,29.79999924,99156,216.4196167,169.7481842,0,0,0,0
30696,30649.89819,1.304839969,-0.420182407,8.681375504,0.063418068,0.003730475,-0.005329249,-7.874684811,1.474941015,4.04150486,29.79999924,99156,215.9960632,169.3913269,0,0,0,0
30736,30688.62451,1.282094955,-0.390254885,8.65144825,0.069280244,0.001598775,-0.006928025,-7.916349888,1.516605973,3.933176041,29.79999924,99156,215.5730438,169.1547394,0,0,0,0
30776,30728.84131,1.279700756,-0.362721562,8.6957407,0.065283306,0.000799387,-0.005862175,-7.916349888,1.474941015,3.999840021,29.79999924,99156,215.6577454,169.4459076,0,0,0,0
